Date,Weight,Time
2013-1-1,90000,12:00
2013-10-15,82500,12:00
2013-12-13,71500,12:00
2014-1-7,74500,12:00
2014-2-21,71300,12:00
2014-2-24,72800,12:00
2014-2-25,72300,12:00
2014-2-26,71800,12:00
2014-2-27,73500,12:00
2014-2-28,71900,12:00
2014-3-3,71300,12:00
2014-3-4,70600,12:00
2014-3-5,69800,12:00
2014-3-6,69500,12:00
2014-3-7,70000,12:00
2014-3-10,71200,12:00
2014-3-11,71600,12:00
2014-3-12,69900,12:00
2014-3-13,69600,12:00
2014-3-14,69900,12:00
2014-3-17,70700,12:00
2014-3-18,69700,12:00
2014-3-19,69800,12:00
2014-3-20,68900,12:00
2014-3-21,68700,12:00
2014-3-24,70600,12:00
2014-3-25,69100,12:00
2014-3-26,69600,12:00
2014-3-27,69900,12:00
2014-3-28,71300,12:00
2014-3-31,70900,12:00
2014-4-1,71400,12:00
2014-4-2,71000,12:00
2014-4-3,71400,12:00
2014-4-4,71600,12:00
2014-4-7,70500,12:00
2014-4-8,69700,12:00
2014-4-9,68300,12:00
2014-4-10,67900,12:00
2014-4-11,69000,12:00
2014-4-14,70200,12:00
2014-4-15,70700,12:00
2014-4-16,71700,12:00
2014-4-22,70000,12:00
2014-4-23,70400,12:00
2014-4-24,70400,12:00
2014-4-25,71100,12:00
2014-4-28,70100,12:00
2014-4-29,68800,12:00
2014-4-30,67900,12:00
2014-5-2,70300,12:00
2014-5-5,68300,12:00
2014-5-6,69100,12:00
2014-5-7,68100,12:00
2014-5-8,69100,12:00
2014-5-9,69400,12:00
2014-5-12,69000,12:00
2014-5-13,68200,12:00
2014-5-14,67300,12:00
2014-5-15,68000,12:00
2014-5-16,70000,12:00
2014-5-19,69200,12:00
2014-5-20,69200,12:00
2014-5-21,69800,12:00
2014-5-22,68200,12:00
2014-5-23,68100,12:00
2014-5-26,68200,12:00
2014-5-27,69400,12:00
2014-5-28,70300,12:00
2014-5-29,68800,12:00
2014-5-30,69900,12:00
2014-6-2,68400,12:00
2014-6-3,68300,12:00
2014-6-4,67800,12:00
2014-6-5,67200,12:00
2014-6-6,69400,12:00
2014-6-9,69800,12:00
2014-6-10,70400,12:00
2014-6-11,69500,12:00
2014-6-12,69400,12:00
2014-6-13,69500,12:00
2014-6-16,67300,12:00
2014-6-17,68200,12:00
2014-6-18,67900,12:00
2014-6-19,69500,12:00
2014-6-20,69000,12:00
2014-6-23,68200,12:00
2014-6-24,68600,12:00
2014-6-25,68300,12:00
2014-6-30,66000,12:00
2014-7-1,65900,12:00
2014-7-2,67000,12:00
2014-7-3,66800,12:00
2014-7-7,68000,12:00
2014-7-8,67800,12:00
2014-7-9,68000,12:00
2014-7-10,68300,12:00
2014-7-11,68800,12:00
2014-7-14,69000,12:00
2014-7-15,67600,12:00
2014-7-16,67800,12:00
2014-8-4,67000,12:00
2014-8-5,66400,12:00
2014-8-6,66100,12:00
2014-8-7,66400,12:00
2014-8-8,67800,12:00
2014-8-11,67400,12:00
2014-8-13,67300,12:00
2014-8-14,67300,12:00
2014-8-18,69900,12:00
2014-8-19,66400,12:00
2014-9-1,67000,12:00
2014-9-2,67600,12:00
2014-9-4,66400,12:00
2014-9-8,67600,12:00
2014-9-26,68500,12:00
2014-9-29,68900,12:00
2014-10-3,67500,12:00
2014-10-8,68500,12:00
2014-10-9,66600,12:00
2014-10-10,67700,12:00
2014-10-13,68400,12:00
2014-10-14,67800,12:00
2014-10-20,66100,12:00
2014-10-21,66000,12:00
2014-10-28,67000,12:00
2014-10-29,66600,12:00
2014-10-30,66700,12:00
2014-11-4,68000,12:00
2014-11-5,67300,12:00
2014-11-6,67300,12:00
2014-11-7,66400,12:00
2014-11-10,67300,12:00
2014-11-11,64700,12:00
2014-11-12,65600,12:00
2014-11-13,64300,12:00
2014-11-14,65400,12:00
2014-12-15,64700,12:00
2015-1-1,64700,12:00
2015-1-7,65800,12:00
2015-1-8,65400,12:00
2015-1-9,64700,12:00
2015-1-12,66200,12:00
2015-1-13,65300,12:00
2015-1-14,64400,12:00
2015-1-15,63100,12:00
2015-1-16,64000,12:00
2015-1-19,64000,12:00
2015-1-20,64000,12:00
2015-1-21,64000,12:00
2015-1-22,64000,12:00
2015-1-23,64000,12:00
2017-5-18,77500,12:00
2017-5-17,78200,12:00
2017-5-16,77300,12:00
2017-5-15,77200,12:00
2017-5-14,77100,12:00
2017-5-13,77000,12:00
2017-5-12,77300,12:00
2017-5-11,77700,12:00
2017-5-10,78000,12:00
2017-5-9,78400,12:00
2017-5-8,78700,12:00
2017-5-7,77000,12:00
2017-5-6,75900,12:00
2017-5-5,76100,12:00
2017-5-4,77200,12:00
2017-5-3,77100,12:00
2017-5-2,78500,12:00
2017-5-1,77900,12:00
2017-4-30,77300,12:00
2017-4-29,76700,12:00
2017-4-28,77600,12:00
2017-4-27,77800,12:00
2017-4-26,78000,12:00
2017-4-25,77300,12:00
2017-4-24,77800,12:00
2017-12-7,83000,12:0
2017-12-9,82400,8:15
2017-12-11,82400,8:5
2017-12-12,82000,7:45
2017-12-13,80500,8:30
2017-12-7,83000,12:0
2017-12-9,82400,8:15
2017-12-11,82400,8:5
2017-12-12,82000,7:45
2017-12-13,80500,8:30
2017-12-14,81000,7:30
2017-12-15,81500,11:33
2017-12-16,82500,21:46
2017-12-18,82900,12:52
2017-12-19,82100,8:0
2017-12-20,81900,7:20
2017-12-21,80800,8:0
2017-12-22,82000,8:30
2017-12-23,83500,11:0
2017-12-24,83000,12:45
2017-12-25,83700,13:0
2017-12-27,83000,12:58
2017-12-28,82500,12:8
2017-12-30,81000,13:0
2017-12-31,82100,14:1
2018-1-2,82900,11:12
2018-1-4,82900,22:37
2018-1-6,82200,11:23
2018-1-7,82900,14:45
2018-1-9,81400,10:26
2018-1-10,80900,10:37
2018-1-11,81400,12:27
2018-1-12,81900,7:49
2018-1-14,82900,15:57
2018-1-29,83000,10:4
2018-2-1,84200,8:56
2018-2-2,84100,7:36
2018-2-3,83100,22:17
2018-2-4,82400,7:46
2018-2-8,81700,13:54
2018-2-17,83900,11:18
2018-2-25,84500,9:53
2018-3-4,82900,19:18
2018-3-18,82700,16:49
2018-3-27,84000,9:13
2018-3-28,83100,8:6
2018-4-2,84300,9:12
2018-4-9,82000,7:8
2018-4-16,81600,7:55
2018-4-23,81100,6:56
2018-4-30,80400,12:55
2018-5-7,80300,16:33
2018-5-15,82200,7:43
2018-5-21,79600,8:3
2018-5-28,80600,8:0
2018-6-4,75300,5:57
2018-6-11,77500,6:56
2018-6-18,76400,6:25
2018-6-25,75800,7:1
2018-7-2,75400,7:0
2018-7-9,75200,7:57
2018-7-16,74800,7:58
2018-7-23,75700,7:22
2018-7-30,76600,9:38
2018-8-6,75000,17:48
2018-8-27,77400,7:33
2018-8-28,76500,8:8
2018-9-3,77700,7:49
2018-9-7,78500,8:7
2018-9-8,77700,13:16
2018-9-30,78000,10:35
2019-3-11,80900,22:0
2019-3-13,80200,22:0
2019-3-14,80400,22:0
2019-3-15,79700,22:0
2019-3-21,80600,22:0
